timestamp,concurrency_level,request_id,n,status_code,client_latency_ms,function_time_ms,prime_count,error
2026-06-16T23:19:14.275528,1,1,1000,200,280.499,0.634,168,
2026-06-16T23:19:17.499464,5,1,1000,200,219.493,0.521,168,
2026-06-16T23:19:17.491842,5,2,1000,200,211.525,0.515,168,
2026-06-16T23:19:17.472849,5,3,1000,200,192.298,0.538,168,
2026-06-16T23:19:17.462901,5,4,1000,200,182.242,0.551,168,
2026-06-16T23:19:17.472311,5,5,1000,200,191.614,0.573,168,
2026-06-16T23:19:20.731072,10,1,1000,200,228.552,9.42,168,
2026-06-16T23:19:20.731223,10,2,1000,200,228.305,0.497,168,
2026-06-16T23:19:20.637869,10,3,1000,200,134.586,0.532,168,
2026-06-16T23:19:20.730960,10,4,1000,200,227.784,0.699,168,
2026-06-16T23:19:20.731202,10,5,1000,200,228.029,0.412,168,
2026-06-16T23:19:20.731044,10,6,1000,200,227.829,0.519,168,
2026-06-16T23:19:20.731017,10,7,1000,200,227.754,0.514,168,
2026-06-16T23:19:20.632011,10,8,1000,200,128.643,0.853,168,
2026-06-16T23:19:20.731179,10,9,1000,200,227.877,0.515,168,
2026-06-16T23:19:20.731097,10,10,1000,200,227.78,0.376,168,
